==Items==
Type:LiPo  	Cells:2S  	Mode:Cycle  	DMode:Inter 	CC:1000mA 	CV:4180mV 
DC:1000mA  	DV:3200mV  	PeakV:5mV  	Cyc:5  	Waste:5Min  	InMax:49V  	eLoad:30W
==Data==
Time(h/m/s) 	Vin(mv)  	Iin(mA) 	Power-in(W) 	Vout(mv)  	Iout(mA)  	Power-ch(W) 	Capa(mah)  	inTmp(C)  	exttmp(C)   	B1(mv)  	B2(mv)  	B3(mv)  	B4(mv)  	B5(mv)  	B6(mv)  	B7(mv)  	B8(mv)
0:0:0  	20043 	115 	0 	8100 	133 	1 	0 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:1  	19999 	438 	5 	8278 	751 	6 	0 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:2  	19992 	476 	7 	8331 	920 	7 	0 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:3  	19990 	512 	7 	8351 	965 	8 	0 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:4  	19987 	512 	8 	8360 	981 	8 	0 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:5  	19987 	512 	8 	8360 	974 	8 	1 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:6  	19989 	512 	8 	8361 	962 	8 	1 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:7  	19988 	512 	7 	8360 	950 	7 	1 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:8  	19990 	512 	7 	8358 	945 	7 	2 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:9  	19990 	512 	7 	8360 	938 	7 	2 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:10  	19991 	511 	7 	8360 	926 	7 	2 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:11  	19992 	503 	7 	8361 	921 	7 	2 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:12  	19992 	506 	7 	8361 	913 	7 	3 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:13  	19992 	476 	7 	8360 	907 	7 	3 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:14  	19992 	476 	7 	8360 	902 	7 	3 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:15  	19993 	476 	7 	8360 	894 	7 	3 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:16  	19992 	476 	7 	8360 	894 	7 	4 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:17  	19994 	476 	7 	8361 	891 	7 	4 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:18  	19994 	476 	7 	8359 	884 	7 	4 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:19  	19994 	476 	7 	8361 	878 	7 	4 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:20  	19995 	476 	7 	8360 	872 	7 	5 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:21  	19995 	476 	7 	8361 	871 	7 	5 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:22  	19995 	476 	7 	8360 	872 	7 	5 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:23  	19994 	476 	7 	8361 	865 	7 	5 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:24  	19994 	476 	7 	8361 	862 	7 	6 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:25  	19995 	476 	7 	8360 	857 	7 	6 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:26  	19996 	476 	7 	8361 	852 	7 	6 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:28  	19997 	471 	7 	8360 	851 	7 	6 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:29  	19995 	472 	7 	8361 	844 	7 	7 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:30  	19994 	476 	7 	8360 	844 	7 	7 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:31  	19999 	458 	7 	8360 	842 	7 	7 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:32  	19998 	439 	7 	8359 	837 	6 	7 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:33  	19997 	469 	6 	8359 	832 	6 	8 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:34  	19997 	439 	6 	8359 	833 	6 	8 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:35  	19999 	440 	6 	8359 	826 	6 	8 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:36  	19997 	442 	6 	8359 	827 	6 	8 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:37  	19996 	439 	6 	8359 	824 	6 	8 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:38  	19998 	439 	6 	8360 	822 	6 	9 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:39  	19998 	439 	6 	8361 	817 	6 	9 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:40  	19998 	439 	6 	8361 	814 	6 	9 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:41  	19997 	439 	6 	8360 	810 	6 	9 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:42  	19998 	439 	6 	8361 	810 	6 	10 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:43  	19997 	439 	6 	8361 	809 	6 	10 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:44  	19998 	439 	6 	8361 	806 	6 	10 	30 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:45  	19997 	439 	6 	8360 	801 	6 	10 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:46  	19999 	439 	6 	8360 	802 	6 	11 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:47  	19998 	439 	6 	8358 	799 	6 	11 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:48  	19998 	439 	6 	8362 	800 	6 	11 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:49  	19999 	439 	6 	8363 	797 	6 	11 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:50  	19997 	439 	6 	8360 	796 	6 	11 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:51  	20002 	439 	6 	8360 	787 	6 	12 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:52  	20000 	439 	6 	8359 	782 	6 	12 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:53  	19999 	439 	6 	8360 	787 	6 	12 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:54  	19999 	439 	6 	8360 	784 	6 	12 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:55  	19999 	439 	6 	8359 	779 	6 	13 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:56  	20000 	439 	6 	8359 	779 	6 	13 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:57  	20002 	439 	6 	8361 	777 	6 	13 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:58  	19999 	439 	6 	8360 	775 	6 	13 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:0:59  	20003 	439 	6 	8359 	779 	6 	13 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:1  	20002 	439 	6 	8360 	771 	6 	14 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:2  	20004 	439 	6 	8361 	777 	6 	14 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:3  	20009 	3 	6 	8151 	771 	6 	14 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:4  	20002 	439 	6 	8363 	763 	6 	14 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:5  	20002 	439 	6 	8360 	762 	6 	15 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:6  	20002 	439 	6 	8360 	763 	6 	15 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:7  	20002 	439 	6 	8363 	755 	6 	15 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:8  	20003 	439 	6 	8359 	761 	6 	15 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:9  	20002 	425 	6 	8361 	757 	6 	15 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:10  	20004 	437 	6 	8359 	753 	6 	16 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:11  	20004 	439 	6 	8359 	757 	6 	16 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:12  	20003 	439 	6 	8361 	750 	6 	16 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:13  	20004 	421 	6 	8359 	752 	6 	16 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:14  	20003 	439 	6 	8359 	752 	6 	16 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:15  	20005 	439 	6 	8359 	747 	6 	17 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:16  	20005 	432 	6 	8360 	747 	6 	17 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:17  	20003 	439 	6 	8360 	747 	6 	17 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:18  	20000 	424 	6 	8359 	740 	6 	17 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:19  	20004 	430 	6 	8359 	743 	6 	18 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:20  	20004 	434 	6 	8361 	741 	6 	18 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:21  	20005 	427 	6 	8361 	742 	6 	18 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:22  	20005 	430 	6 	8360 	738 	6 	18 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:23  	20005 	402 	6 	8359 	737 	6 	18 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:24  	20005 	402 	6 	8359 	733 	6 	19 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:25  	20004 	411 	6 	8359 	736 	6 	19 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:26  	20004 	403 	6 	8361 	732 	6 	19 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:27  	20004 	402 	6 	8359 	728 	6 	19 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:28  	20005 	402 	6 	8360 	729 	6 	19 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:29  	20006 	402 	6 	8360 	732 	6 	20 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:30  	20003 	402 	6 	8359 	728 	6 	20 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:31  	20004 	402 	6 	8359 	724 	6 	20 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:32  	20005 	402 	6 	8362 	726 	6 	20 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:33  	20003 	402 	6 	8358 	727 	6 	20 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:34  	20006 	402 	6 	8359 	724 	6 	21 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:35  	20005 	402 	6 	8363 	719 	6 	21 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:36  	20006 	402 	6 	8361 	717 	5 	21 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:38  	20007 	402 	5 	8359 	723 	6 	21 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:39  	20005 	402 	6 	8361 	717 	5 	21 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:40  	20004 	402 	6 	8363 	715 	5 	22 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:41  	20006 	402 	5 	8361 	714 	5 	22 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:42  	20007 	402 	5 	8361 	716 	5 	22 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:43  	20004 	402 	5 	8360 	712 	5 	22 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:44  	20005 	402 	5 	8361 	717 	5 	23 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:45  	20005 	402 	5 	8360 	710 	5 	23 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:46  	20006 	402 	5 	8360 	706 	5 	23 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:47  	20007 	402 	5 	8362 	710 	5 	23 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:48  	20005 	402 	5 	8360 	705 	5 	23 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:49  	20005 	402 	5 	8360 	707 	5 	24 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:50  	20006 	402 	5 	8361 	704 	5 	24 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:51  	20005 	402 	5 	8361 	705 	5 	24 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:52  	20006 	402 	5 	8362 	703 	5 	24 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:53  	20008 	402 	5 	8360 	702 	5 	24 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:54  	20007 	402 	5 	8360 	695 	5 	24 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:55  	20007 	402 	5 	8361 	696 	5 	25 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:56  	20007 	402 	5 	8360 	698 	5 	25 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:57  	20006 	402 	5 	8359 	698 	5 	25 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:58  	20007 	402 	5 	8361 	696 	5 	25 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:1:59  	20007 	402 	5 	8359 	692 	5 	25 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:0  	20009 	402 	5 	8359 	689 	5 	26 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:1  	20005 	402 	5 	8363 	689 	5 	26 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:2  	20007 	402 	5 	8361 	692 	5 	26 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:3  	20006 	402 	5 	8362 	701 	5 	26 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:4  	20006 	402 	5 	8359 	687 	5 	26 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:5  	20007 	402 	5 	8359 	689 	5 	27 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:6  	20008 	402 	5 	8359 	682 	5 	27 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:7  	20008 	402 	5 	8359 	683 	5 	27 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:8  	20008 	402 	5 	8359 	687 	5 	27 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:9  	20007 	402 	5 	8360 	687 	5 	27 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:10  	20007 	402 	5 	8360 	681 	5 	28 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:11  	20007 	402 	5 	8359 	681 	5 	28 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:12  	20009 	402 	5 	8361 	684 	5 	28 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:13  	20007 	402 	5 	8359 	681 	5 	28 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:14  	20007 	402 	5 	8359 	681 	5 	28 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:15  	20009 	402 	5 	8359 	681 	5 	29 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:16  	20007 	402 	5 	8359 	674 	5 	29 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:17  	20010 	402 	5 	8360 	681 	5 	29 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:18  	20007 	402 	5 	8361 	676 	5 	29 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:19  	20008 	402 	5 	8361 	677 	5 	29 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:21  	20010 	402 	5 	8359 	675 	5 	30 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:22  	20008 	402 	5 	8359 	672 	5 	30 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:23  	20010 	402 	5 	8359 	673 	5 	30 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:24  	20009 	402 	5 	8358 	672 	5 	30 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:25  	20007 	402 	5 	8359 	669 	5 	30 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:26  	20007 	402 	5 	8358 	672 	5 	31 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:27  	20005 	402 	5 	8358 	665 	5 	31 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:28  	20009 	402 	5 	8358 	667 	5 	31 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:29  	20007 	402 	5 	8358 	669 	5 	31 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:30  	20006 	402 	5 	8358 	666 	5 	31 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:31  	20009 	402 	5 	8359 	665 	5 	31 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:32  	20009 	402 	5 	8358 	666 	5 	32 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:33  	20008 	402 	5 	8360 	664 	5 	32 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:34  	20009 	402 	5 	8359 	664 	5 	32 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:35  	20008 	402 	5 	8359 	663 	5 	32 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:36  	20008 	402 	5 	8363 	661 	5 	32 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:37  	20008 	402 	5 	8360 	665 	5 	33 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:38  	20010 	402 	5 	8359 	658 	5 	33 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:39  	20007 	398 	5 	8359 	655 	5 	33 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:40  	20009 	401 	5 	8360 	660 	5 	33 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:41  	20008 	402 	5 	8359 	662 	5 	33 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:42  	20009 	402 	5 	8360 	654 	5 	34 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:43  	20010 	384 	5 	8359 	656 	5 	34 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:44  	20010 	389 	5 	8360 	657 	5 	34 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:45  	20010 	397 	5 	8360 	656 	5 	34 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:46  	20009 	370 	5 	8361 	655 	5 	34 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:47  	20011 	388 	5 	8364 	656 	5 	34 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:48  	20010 	388 	5 	8360 	653 	5 	35 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:49  	20009 	366 	5 	8359 	650 	5 	35 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:50  	20010 	370 	5 	8361 	652 	5 	35 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:51  	20011 	368 	5 	8360 	656 	5 	35 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:52  	20012 	366 	5 	8360 	648 	5 	35 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:53  	20010 	388 	5 	8361 	651 	5 	36 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:54  	20011 	393 	5 	8359 	649 	5 	36 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:55  	20010 	366 	5 	8360 	647 	5 	36 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:56  	20011 	386 	5 	8361 	648 	5 	36 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:57  	20011 	384 	5 	8363 	647 	5 	36 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:58  	20010 	369 	5 	8361 	648 	5 	37 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:2:59  	20012 	384 	5 	8360 	644 	5 	37 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:0  	20009 	366 	5 	8362 	642 	5 	37 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:2  	20010 	366 	5 	8359 	644 	5 	37 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:3  	20010 	374 	5 	8361 	646 	5 	37 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:4  	20008 	366 	5 	8360 	652 	5 	37 	31 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:5  	20012 	375 	5 	8361 	649 	5 	38 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:6  	20010 	366 	5 	8360 	648 	5 	38 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:7  	20010 	366 	5 	8359 	647 	5 	38 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:8  	20009 	366 	5 	8359 	646 	5 	38 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:9  	20011 	369 	5 	8359 	646 	5 	38 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:10  	20010 	366 	5 	8359 	642 	5 	39 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:11  	20011 	366 	5 	8359 	645 	5 	39 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:12  	20011 	366 	5 	8363 	641 	5 	39 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:13  	20012 	366 	5 	8360 	643 	5 	39 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:14  	20012 	366 	5 	8359 	639 	5 	39 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:15  	20012 	366 	5 	8359 	644 	5 	39 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:16  	20012 	366 	5 	8358 	644 	5 	40 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:17  	20011 	366 	5 	8360 	637 	5 	40 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:18  	20011 	366 	5 	8359 	638 	5 	40 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:19  	20009 	366 	5 	8360 	639 	5 	40 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:20  	20011 	367 	5 	8361 	638 	5 	40 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:21  	20012 	366 	5 	8360 	638 	5 	41 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:22  	20012 	366 	5 	8359 	635 	5 	41 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:23  	20013 	383 	5 	8360 	635 	5 	41 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:24  	20013 	366 	5 	8359 	635 	5 	41 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:25  	20010 	366 	5 	8363 	631 	5 	41 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:26  	20011 	366 	5 	8360 	635 	5 	41 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:27  	20012 	366 	5 	8360 	628 	5 	42 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:28  	20011 	366 	5 	8359 	629 	5 	42 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:29  	20012 	366 	5 	8360 	628 	5 	42 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:30  	20011 	366 	5 	8358 	630 	5 	42 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:31  	20013 	366 	5 	8359 	627 	5 	42 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:32  	20014 	366 	5 	8361 	631 	5 	43 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:33  	20012 	366 	5 	8360 	628 	5 	43 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:34  	20013 	366 	5 	8359 	627 	5 	43 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:35  	20012 	366 	5 	8359 	627 	5 	43 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:36  	20011 	366 	5 	8358 	625 	5 	43 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:37  	20010 	366 	5 	8362 	627 	5 	43 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:38  	20011 	366 	5 	8361 	622 	5 	44 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:39  	20011 	366 	5 	8357 	625 	5 	44 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:40  	20011 	366 	5 	8358 	625 	5 	44 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:41  	20012 	366 	5 	8358 	621 	5 	44 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:42  	20011 	366 	5 	8357 	618 	5 	44 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:44  	20012 	366 	5 	8359 	624 	5 	44 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:45  	20012 	366 	5 	8361 	619 	5 	45 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:46  	20011 	366 	5 	8364 	620 	5 	45 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:47  	20013 	366 	5 	8359 	619 	5 	45 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:48  	20012 	366 	5 	8359 	621 	5 	45 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:49  	20010 	366 	5 	8359 	618 	5 	45 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:50  	20014 	366 	5 	8359 	615 	5 	46 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:51  	20012 	366 	5 	8360 	616 	5 	46 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:52  	20012 	366 	5 	8361 	616 	5 	46 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:53  	20012 	366 	5 	8359 	611 	5 	46 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
